region_type,region_name,city_name,city_ascii,rank_by_population_in_region,is_capital
COUNTRY,Afghanistan,Kabul,Kabul,1.0,True
COUNTRY,Afghanistan,Kandahar,Kandahar,2.0,False
COUNTRY,Afghanistan,Herat,Herat,3.0,False
COUNTRY,Afghanistan,Mazar-i-Sharif,Mazar-i-Sharif,4.0,False
COUNTRY,Afghanistan,Jalalabad,Jalalabad,5.0,False
COUNTRY,Armenia,Yerevan,Yerevan,1.0,True
COUNTRY,Armenia,Gyumri,Gyumri,2.0,False
COUNTRY,Armenia,Vanadzor,Vanadzor,3.0,False
COUNTRY,Armenia,Vagharshapat,Vagharshapat,4.0,False
COUNTRY,Armenia,Hrazdan,Hrazdan,5.0,False
COUNTRY,Azerbaijan,Baku,Baku,1.0,True
COUNTRY,Azerbaijan,Ganja,Ganja,2.0,False
COUNTRY,Azerbaijan,Sumqayit,Sumqayit,3.0,False
COUNTRY,Azerbaijan,Lankaran,Lankaran,4.0,False
COUNTRY,Azerbaijan,Mingachevir,Mingachevir,5.0,False
COUNTRY,Bahrain,Manama,Manama,1.0,True
COUNTRY,Bahrain,Riffa,Riffa,2.0,False
COUNTRY,Bahrain,Muharraq,Muharraq,3.0,False
COUNTRY,Bahrain,Hamad Town,Hamad Town,4.0,False
COUNTRY,Bahrain,Isa Town,Isa Town,5.0,False
COUNTRY,Bangladesh,Dhaka,Dhaka,1.0,True
COUNTRY,Bangladesh,Chittagong,Chittagong,2.0,False
COUNTRY,Bangladesh,Khulna,Khulna,3.0,False
COUNTRY,Bangladesh,Rajshahi,Rajshahi,4.0,False
COUNTRY,Bangladesh,Sylhet,Sylhet,5.0,False
COUNTRY,Bhutan,Thimphu,Thimphu,1.0,True
COUNTRY,Bhutan,Phuentsholing,Phuentsholing,2.0,False
COUNTRY,Bhutan,Gelephu,Gelephu,3.0,False
COUNTRY,Bhutan,Samtse,Samtse,4.0,False
COUNTRY,Bhutan,Paro,Paro,5.0,False
COUNTRY,Brunei,Bandar Seri Begawan,Bandar Seri Begawan,1.0,True
COUNTRY,Brunei,Kuala Belait,Kuala Belait,2.0,False
COUNTRY,Brunei,Seria,Seria,3.0,False
COUNTRY,Brunei,Tutong,Tutong,4.0,False
COUNTRY,Brunei,Bangar,Bangar,5.0,False
COUNTRY,Cambodia,Phnom Penh,Phnom Penh,1.0,True
COUNTRY,Cambodia,Siem Reap,Siem Reap,2.0,False
COUNTRY,Cambodia,Battambang,Battambang,3.0,False
COUNTRY,Cambodia,Sihanoukville,Sihanoukville,4.0,False
COUNTRY,Cambodia,Poipet,Poipet,5.0,False
COUNTRY,China,Shanghai,Shanghai,1.0,False
COUNTRY,China,Beijing,Beijing,2.0,True
COUNTRY,China,Chongqing,Chongqing,3.0,False
COUNTRY,China,Tianjin,Tianjin,4.0,False
COUNTRY,China,Guangzhou,Guangzhou,5.0,False
COUNTRY,Cyprus,Nicosia,Nicosia,1.0,True
COUNTRY,Cyprus,Limassol,Limassol,2.0,False
COUNTRY,Cyprus,Larnaca,Larnaca,3.0,False
COUNTRY,Cyprus,Paphos,Paphos,4.0,False
COUNTRY,Cyprus,Famagusta,Famagusta,5.0,False
