region_type,region_name,city_name,city_ascii,rank_by_population_in_region,is_capital
COUNTRY,Albania,Tirana,Tirana,1.0,True
COUNTRY,Albania,Durrës,Durres,2.0,False
COUNTRY,Albania,Vlorë,Vlore,3.0,False
COUNTRY,Albania,Elbasan,Elbasan,4.0,False
COUNTRY,Albania,Shkodër,Shkoder,5.0,False
COUNTRY,Andorra,Andorra la Vella,Andorra la Vella,1.0,True
COUNTRY,Andorra,Escaldes-Engordany,Escaldes-Engordany,2.0,False
COUNTRY,Andorra,Encamp,Encamp,3.0,False
COUNTRY,Austria,Vienna,Vienna,1.0,True
COUNTRY,Austria,Graz,Graz,2.0,False
COUNTRY,Austria,Linz,Linz,3.0,False
COUNTRY,Austria,Salzburg,Salzburg,4.0,False
COUNTRY,Austria,Innsbruck,Innsbruck,5.0,False
COUNTRY,Belarus,Minsk,Minsk,1.0,True
COUNTRY,Belarus,Gomel,Gomel,2.0,False
COUNTRY,Belarus,Mogilev,Mogilev,3.0,False
COUNTRY,Belarus,Vitebsk,Vitebsk,4.0,False
COUNTRY,Belarus,Hrodna,Hrodna,5.0,False
COUNTRY,Belgium,Brussels,Brussels,1.0,True
COUNTRY,Belgium,Antwerp,Antwerp,2.0,False
COUNTRY,Belgium,Ghent,Ghent,3.0,False
COUNTRY,Belgium,Charleroi,Charleroi,4.0,False
COUNTRY,Belgium,Liège,Liege,5.0,False
COUNTRY,Bosnia and Herzegovina,Sarajevo,Sarajevo,1.0,True
COUNTRY,Bosnia and Herzegovina,Banja Luka,Banja Luka,2.0,False
COUNTRY,Bosnia and Herzegovina,Tuzla,Tuzla,3.0,False
COUNTRY,Bosnia and Herzegovina,Zenica,Zenica,4.0,False
COUNTRY,Bosnia and Herzegovina,Mostar,Mostar,5.0,False
COUNTRY,Bulgaria,Sofia,Sofia,1.0,True
COUNTRY,Bulgaria,Plovdiv,Plovdiv,2.0,False
COUNTRY,Bulgaria,Varna,Varna,3.0,False
COUNTRY,Bulgaria,Burgas,Burgas,4.0,False
COUNTRY,Bulgaria,Ruse,Ruse,5.0,False
COUNTRY,Croatia,Zagreb,Zagreb,1.0,True
COUNTRY,Croatia,Split,Split,2.0,False
COUNTRY,Croatia,Rijeka,Rijeka,3.0,False
COUNTRY,Croatia,Osijek,Osijek,4.0,False
COUNTRY,Croatia,Zadar,Zadar,5.0,False
COUNTRY,Cyprus,Nicosia,Nicosia,1.0,True
COUNTRY,Cyprus,Limassol,Limassol,2.0,False
COUNTRY,Cyprus,Larnaca,Larnaca,3.0,False
COUNTRY,Cyprus,Paphos,Paphos,4.0,False
COUNTRY,Cyprus,Famagusta,Famagusta,5.0,False
COUNTRY,Czechia,Prague,Prague,1.0,True
COUNTRY,Czechia,Brno,Brno,2.0,False
COUNTRY,Czechia,Ostrava,Ostrava,3.0,False
COUNTRY,Czechia,Plzeň,Plzen,4.0,False
COUNTRY,Czechia,Liberec,Liberec,5.0,False
COUNTRY,Denmark,Copenhagen,Copenhagen,1.0,True
COUNTRY,Denmark,Aarhus,Aarhus,2.0,False
COUNTRY,Denmark,Odense,Odense,3.0,False
COUNTRY,Denmark,Aalborg,Aalborg,4.0,False
COUNTRY,Denmark,Esbjerg,Esbjerg,5.0,False
COUNTRY,Estonia,Tallinn,Tallinn,1.0,True
COUNTRY,Estonia,Tartu,Tartu,2.0,False
COUNTRY,Estonia,Narva,Narva,3.0,False
COUNTRY,Estonia,Pärnu,Parnu,4.0,False
COUNTRY,Estonia,Kohtla-Järve,Kohtla-Jarve,5.0,False
COUNTRY,Finland,Helsinki,Helsinki,1.0,True
COUNTRY,Finland,Espoo,Espoo,2.0,False
COUNTRY,Finland,Tampere,Tampere,3.0,False
COUNTRY,Finland,Vantaa,Vantaa,4.0,False
COUNTRY,Finland,Oulu,Oulu,5.0,False
COUNTRY,France,Paris,Paris,1.0,True
COUNTRY,France,Marseille,Marseille,2.0,False
COUNTRY,France,Lyon,Lyon,3.0,False
COUNTRY,France,Toulouse,Toulouse,4.0,False
COUNTRY,France,Nice,Nice,5.0,False
COUNTRY,Germany,Berlin,Berlin,1.0,True
COUNTRY,Germany,Hamburg,Hamburg,2.0,False
COUNTRY,Germany,Munich,Munich,3.0,False
COUNTRY,Germany,Cologne,Cologne,4.0,False
COUNTRY,Germany,Frankfurt,Frankfurt,5.0,False
COUNTRY,Greece,Athens,Athens,1.0,True
COUNTRY,Greece,Thessaloniki,Thessaloniki,2.0,False
COUNTRY,Greece,Patras,Patras,3.0,False
COUNTRY,Greece,Heraklion,Heraklion,4.0,False
COUNTRY,Greece,Larissa,Larissa,5.0,False
COUNTRY,Hungary,Budapest,Budapest,1.0,True
COUNTRY,Hungary,Debrecen,Debrecen,2.0,False
