region_type,region_name,city_name,city_ascii,rank_by_population_in_region,is_capital
US-STATE,Alabama,Huntsville,Huntsville,1.0,False
US-STATE,Alabama,Birmingham,Birmingham,2.0,False
US-STATE,Alabama,Montgomery,Montgomery,3.0,True
US-STATE,Alabama,Mobile,Mobile,4.0,False
US-STATE,Alabama,Tuscaloosa,Tuscaloosa,5.0,False
US-STATE,Alaska,Anchorage,Anchorage,1.0,False
US-STATE,Alaska,Fairbanks,Fairbanks,2.0,False
US-STATE,Alaska,Juneau,Juneau,3.0,True
US-STATE,Alaska,Wasilla,Wasilla,4.0,False
US-STATE,Alaska,Sitka,Sitka,5.0,False
US-STATE,Arizona,Phoenix,Phoenix,1.0,True
US-STATE,Arizona,Tucson,Tucson,2.0,False
US-STATE,Arizona,Mesa,Mesa,3.0,False
US-STATE,Arizona,Chandler,Chandler,4.0,False
US-STATE,Arizona,Gilbert,Gilbert,5.0,False
US-STATE,Arkansas,Little Rock,Little Rock,1.0,True
US-STATE,Arkansas,Fayetteville,Fayetteville,2.0,False
US-STATE,Arkansas,Fort Smith,Fort Smith,3.0,False
US-STATE,Arkansas,Springdale,Springdale,4.0,False
US-STATE,Arkansas,Jonesboro,Jonesboro,5.0,False
US-STATE,California,Los Angeles,Los Angeles,1.0,False
US-STATE,California,San Diego,San Diego,2.0,False
US-STATE,California,San Jose,San Jose,3.0,False
US-STATE,California,San Francisco,San Francisco,4.0,False
US-STATE,California,Fresno,Fresno,5.0,False
US-STATE,California,Sacramento,Sacramento,,True
US-STATE,Colorado,Denver,Denver,1.0,True
US-STATE,Colorado,Colorado Springs,Colorado Springs,2.0,False
US-STATE,Colorado,Aurora,Aurora,3.0,False
US-STATE,Colorado,Fort Collins,Fort Collins,4.0,False
US-STATE,Colorado,Lakewood,Lakewood,5.0,False
US-STATE,Connecticut,Bridgeport,Bridgeport,1.0,False
US-STATE,Connecticut,Stamford,Stamford,2.0,False
US-STATE,Connecticut,New Haven,New Haven,3.0,False
US-STATE,Connecticut,Hartford,Hartford,4.0,True
US-STATE,Connecticut,Waterbury,Waterbury,5.0,False
US-STATE,Delaware,Wilmington,Wilmington,1.0,False
US-STATE,Delaware,Dover,Dover,2.0,True
US-STATE,Delaware,Newark,Newark,3.0,False
US-STATE,Delaware,Middletown,Middletown,4.0,False
US-STATE,Delaware,Smyrna,Smyrna,5.0,False
US-STATE,Florida,Jacksonville,Jacksonville,1.0,False
US-STATE,Florida,Miami,Miami,2.0,False
US-STATE,Florida,Tampa,Tampa,3.0,False
US-STATE,Florida,Orlando,Orlando,4.0,False
US-STATE,Florida,St. Petersburg,St. Petersburg,5.0,False
US-STATE,Florida,Tallahassee,Tallahassee,,True
US-STATE,Georgia,Atlanta,Atlanta,1.0,True
US-STATE,Georgia,Augusta,Augusta,2.0,False
US-STATE,Georgia,Columbus,Columbus,3.0,False
US-STATE,Georgia,Macon,Macon,4.0,False
US-STATE,Georgia,Savannah,Savannah,5.0,False
US-STATE,Hawaii,Urban Honolulu,Urban Honolulu,1.0,False
US-STATE,Hawaii,East Honolulu,East Honolulu,2.0,False
US-STATE,Hawaii,Hilo,Hilo,3.0,False
US-STATE,Hawaii,Pearl City,Pearl City,4.0,False
US-STATE,Hawaii,Kailua,Kailua,5.0,False
US-STATE,Hawaii,Honolulu,Honolulu,,True
US-STATE,Idaho,Boise,Boise,1.0,True
US-STATE,Idaho,Meridian,Meridian,2.0,False
US-STATE,Idaho,Nampa,Nampa,3.0,False
US-STATE,Idaho,Idaho Falls,Idaho Falls,4.0,False
US-STATE,Idaho,Caldwell,Caldwell,5.0,False
US-STATE,Illinois,Chicago,Chicago,1.0,False
US-STATE,Illinois,Aurora,Aurora,2.0,False
US-STATE,Illinois,Joliet,Joliet,3.0,False
US-STATE,Illinois,Naperville,Naperville,4.0,False
US-STATE,Illinois,Rockford,Rockford,5.0,False
US-STATE,Illinois,Springfield,Springfield,,True
US-STATE,Indiana,Indianapolis,Indianapolis,1.0,True
US-STATE,Indiana,Fort Wayne,Fort Wayne,2.0,False
US-STATE,Indiana,Evansville,Evansville,3.0,False
US-STATE,Indiana,South Bend,South Bend,4.0,False
US-STATE,Indiana,Carmel,Carmel,5.0,False
US-STATE,Iowa,Des Moines,Des Moines,1.0,True
US-STATE,Iowa,Cedar Rapids,Cedar Rapids,2.0,False
US-STATE,Iowa,Davenport,Davenport,3.0,False
US-STATE,Iowa,Sioux City,Sioux City,4.0,False
US-STATE,Iowa,Iowa City,Iowa City,5.0,False
US-STATE,Kansas,Wichita,Wichita,1.0,False
US-STATE,Kansas,Overland Park,Overland Park,2.0,False
US-STATE,Kansas,Kansas City,Kansas City,3.0,False
US-STATE,Kansas,Olathe,Olathe,4.0,False
US-STATE,Kansas,Topeka,Topeka,5.0,True
US-STATE,Kentucky,Louisville,Louisville,1.0,False
US-STATE,Kentucky,Lexington,Lexington,2.0,False
US-STATE,Kentucky,Bowling Green,Bowling Green,3.0,False
US-STATE,Kentucky,Owensboro,Owensboro,4.0,False
US-STATE,Kentucky,Covington,Covington,5.0,False
US-STATE,Kentucky,Frankfort,Frankfort,,True
US-STATE,Louisiana,New Orleans,New Orleans,1.0,False
US-STATE,Louisiana,Baton Rouge,Baton Rouge,2.0,True
US-STATE,Louisiana,Shreveport,Shreveport,3.0,False
US-STATE,Louisiana,Lafayette,Lafayette,4.0,False
US-STATE,Louisiana,Lake Charles,Lake Charles,5.0,False
US-STATE,Maine,Portland,Portland,1.0,False
US-STATE,Maine,Lewiston,Lewiston,2.0,False
US-STATE,Maine,Bangor,Bangor,3.0,False
US-STATE,Maine,South Portland,South Portland,4.0,False
US-STATE,Maine,Auburn,Auburn,5.0,False
US-STATE,Maine,Augusta,Augusta,,True
US-STATE,Maryland,Baltimore,Baltimore,1.0,False
US-STATE,Maryland,Frederick,Frederick,2.0,False
US-STATE,Maryland,Rockville,Rockville,3.0,False
US-STATE,Maryland,Gaithersburg,Gaithersburg,4.0,False
US-STATE,Maryland,Bowie,Bowie,5.0,False
US-STATE,Maryland,Annapolis,Annapolis,,True
US-STATE,Massachusetts,Boston,Boston,1.0,True
US-STATE,Massachusetts,Worcester,Worcester,2.0,False
US-STATE,Massachusetts,Springfield,Springfield,3.0,False
US-STATE,Massachusetts,Cambridge,Cambridge,4.0,False
US-STATE,Massachusetts,Lowell,Lowell,5.0,False
US-STATE,Michigan,Detroit,Detroit,1.0,False
US-STATE,Michigan,Grand Rapids,Grand Rapids,2.0,False
US-STATE,Michigan,Warren,Warren,3.0,False
US-STATE,Michigan,Sterling Heights,Sterling Heights,4.0,False
US-STATE,Michigan,Ann Arbor,Ann Arbor,5.0,False
US-STATE,Michigan,Lansing,Lansing,,True
US-STATE,Minnesota,Minneapolis,Minneapolis,1.0,False
US-STATE,Minnesota,Saint Paul,Saint Paul,2.0,True
US-STATE,Minnesota,Rochester,Rochester,3.0,False
US-STATE,Minnesota,Bloomington,Bloomington,4.0,False
US-STATE,Minnesota,Duluth,Duluth,5.0,False
US-STATE,Mississippi,Jackson,Jackson,1.0,True
US-STATE,Mississippi,Gulfport,Gulfport,2.0,False
US-STATE,Mississippi,Southaven,Southaven,3.0,False
US-STATE,Mississippi,Hattiesburg,Hattiesburg,4.0,False
US-STATE,Mississippi,Biloxi,Biloxi,5.0,False
US-STATE,Missouri,Kansas City,Kansas City,1.0,False
US-STATE,Missouri,St. Louis,St. Louis,2.0,False
